time,open,high,low,close,volume
2021-04-01 09:34:00-04:00,161.56,161.56,161.53,161.53,210
2021-04-01 09:42:00-04:00,161.62,161.62,161.62,161.62,100
2021-04-01 09:45:00-04:00,161.535,161.535,161.5,161.5,200
2021-04-01 09:51:00-04:00,161.7,161.75,161.7,161.75,300
2021-04-01 10:46:00-04:00,161.84,161.84,161.84,161.84,103
2021-04-01 10:58:00-04:00,161.945,161.945,161.945,161.945,100
2021-04-01 11:25:00-04:00,161.97,161.97,161.97,161.97,100
2021-04-01 11:30:00-04:00,161.88,161.88,161.88,161.88,100
2021-04-01 11:37:00-04:00,162.0,162.0,162.0,162.0,100
2021-04-01 11:53:00-04:00,162.0,162.0,162.0,162.0,137
2021-04-01 12:04:00-04:00,161.89,161.89,161.89,161.89,100
2021-04-01 12:11:00-04:00,161.8,161.8,161.8,161.8,100
2021-04-01 12:14:00-04:00,161.75,161.75,161.75,161.75,100
2021-04-01 12:24:00-04:00,161.7,161.71,161.7,161.71,200
2021-04-01 12:31:00-04:00,161.755,161.755,161.755,161.755,100
2021-04-01 12:33:00-04:00,161.73,161.73,161.73,161.73,100
2021-04-01 12:52:00-04:00,161.71,161.71,161.71,161.71,100
2021-04-01 12:58:00-04:00,161.67,161.67,161.67,161.67,100
2021-04-01 12:59:00-04:00,161.74,161.74,161.705,161.715,531
2021-04-01 13:02:00-04:00,161.725,161.725,161.725,161.725,500
2021-04-01 13:09:00-04:00,161.73,161.73,161.73,161.73,200
2021-04-01 13:10:00-04:00,161.75,161.75,161.75,161.75,300
2021-04-01 13:11:00-04:00,161.765,161.765,161.765,161.765,100
2021-04-01 13:12:00-04:00,161.73,161.73,161.695,161.695,290
2021-04-01 13:15:00-04:00,161.705,161.705,161.705,161.705,100
2021-04-01 13:16:00-04:00,161.705,161.705,161.705,161.705,100
2021-04-01 13:18:00-04:00,161.725,161.725,161.725,161.725,100
2021-04-01 13:24:00-04:00,161.86,161.86,161.86,161.86,198
2021-04-01 13:37:00-04:00,161.95,161.95,161.95,161.95,131
2021-04-01 13:48:00-04:00,161.96,161.96,161.96,161.96,100
2021-04-01 14:00:00-04:00,161.88,161.88,161.88,161.88,100
2021-04-01 14:08:00-04:00,161.86,161.86,161.86,161.86,100
2021-04-01 14:16:00-04:00,161.82,161.82,161.82,161.82,100
2021-04-01 14:20:00-04:00,161.78,161.78,161.78,161.78,406
2021-04-01 14:22:00-04:00,161.855,161.855,161.855,161.855,100
2021-04-01 14:24:00-04:00,161.86,161.86,161.86,161.86,400
2021-04-01 14:26:00-04:00,161.85,161.85,161.85,161.85,500
2021-04-01 14:29:00-04:00,161.86,161.86,161.86,161.86,400
2021-04-01 14:30:00-04:00,161.84,161.84,161.84,161.84,500
2021-04-01 14:31:00-04:00,161.82,161.82,161.82,161.82,400
2021-04-01 14:41:00-04:00,161.77,161.77,161.77,161.77,677
2021-04-01 14:57:00-04:00,161.815,161.815,161.815,161.815,105
2021-04-01 14:58:00-04:00,161.77,161.77,161.77,161.77,100
2021-04-01 15:00:00-04:00,161.755,161.755,161.75,161.75,620
2021-04-01 15:02:00-04:00,161.805,161.805,161.805,161.805,100
2021-04-01 15:04:00-04:00,161.81,161.81,161.81,161.81,400
2021-04-01 15:06:00-04:00,161.805,161.805,161.805,161.805,305
2021-04-01 15:07:00-04:00,161.79,161.79,161.775,161.78,600
2021-04-01 15:10:00-04:00,161.76,161.76,161.76,161.76,860
2021-04-01 15:13:00-04:00,161.76,161.775,161.76,161.775,600
2021-04-01 15:14:00-04:00,161.82,161.82,161.82,161.82,100
2021-04-01 15:15:00-04:00,161.845,161.85,161.845,161.85,411
