time,open,high,low,close,volume
2021-07-01 09:51:00-04:00,23.88,23.88,23.88,23.88,1600
2021-07-01 10:00:00-04:00,23.91,23.91,23.91,23.91,680
2021-07-01 10:01:00-04:00,23.9,23.9,23.9,23.9,420
2021-07-01 10:03:00-04:00,23.87,23.87,23.87,23.87,100
2021-07-01 10:05:00-04:00,23.87,23.87,23.87,23.87,173
2021-07-01 10:44:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 10:50:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 10:53:00-04:00,23.84,23.84,23.84,23.84,100
2021-07-01 10:54:00-04:00,23.82,23.82,23.82,23.82,100
2021-07-01 10:55:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 10:58:00-04:00,23.86,23.86,23.86,23.86,100
2021-07-01 11:00:00-04:00,23.84,23.84,23.84,23.84,100
2021-07-01 11:05:00-04:00,23.83,23.83,23.83,23.83,100
2021-07-01 11:07:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 11:11:00-04:00,23.88,23.88,23.88,23.88,500
2021-07-01 11:14:00-04:00,23.9,23.9,23.9,23.9,100
2021-07-01 11:20:00-04:00,23.92,23.92,23.92,23.92,100
2021-07-01 11:25:00-04:00,23.93,23.93,23.93,23.93,100
2021-07-01 11:28:00-04:00,23.92,23.92,23.92,23.92,100
2021-07-01 11:31:00-04:00,23.87,23.87,23.87,23.87,100
2021-07-01 11:39:00-04:00,23.87,23.87,23.87,23.87,100
2021-07-01 11:41:00-04:00,23.86,23.86,23.86,23.86,100
2021-07-01 11:45:00-04:00,23.88,23.88,23.88,23.88,100
2021-07-01 11:47:00-04:00,23.88,23.88,23.88,23.88,100
2021-07-01 11:54:00-04:00,23.84,23.84,23.84,23.84,200
2021-07-01 12:13:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:16:00-04:00,23.85,23.85,23.85,23.85,1100
2021-07-01 12:17:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:24:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:29:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:30:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:38:00-04:00,23.86,23.86,23.86,23.86,100
2021-07-01 12:44:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:46:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:47:00-04:00,23.85,23.85,23.85,23.85,100
2021-07-01 12:53:00-04:00,23.86,23.86,23.86,23.86,100
2021-07-01 13:04:00-04:00,23.85,23.85,23.85,23.85,100
