time,open,high,low,close,volume
2021-07-01 09:37:00-04:00,82.605,82.605,82.605,82.605,105
2021-07-01 09:43:00-04:00,82.445,82.445,82.445,82.445,300
2021-07-01 09:47:00-04:00,82.385,82.385,82.385,82.385,300
2021-07-01 09:55:00-04:00,82.145,82.22,82.145,82.16,525
2021-07-01 09:56:00-04:00,82.16,82.18,82.16,82.18,200
2021-07-01 10:07:00-04:00,82.265,82.265,82.265,82.265,100
2021-07-01 10:11:00-04:00,82.265,82.265,82.235,82.235,290
2021-07-01 10:13:00-04:00,82.205,82.205,82.205,82.205,100
2021-07-01 10:14:00-04:00,82.165,82.165,82.165,82.165,147
2021-07-01 10:16:00-04:00,82.135,82.135,82.135,82.135,100
2021-07-01 10:17:00-04:00,82.105,82.105,82.085,82.085,200
2021-07-01 10:26:00-04:00,82.015,82.015,82.015,82.015,100
2021-07-01 10:30:00-04:00,81.91,81.91,81.91,81.91,100
2021-07-01 10:36:00-04:00,81.96,81.96,81.96,81.96,300
2021-07-01 10:47:00-04:00,81.895,81.895,81.895,81.895,100
2021-07-01 10:49:00-04:00,81.815,81.815,81.805,81.805,200
2021-07-01 11:07:00-04:00,81.825,81.825,81.825,81.825,300
2021-07-01 11:08:00-04:00,81.785,81.785,81.765,81.765,300
2021-07-01 11:11:00-04:00,81.685,81.685,81.685,81.685,190
2021-07-01 11:17:00-04:00,81.465,81.465,81.465,81.465,100
2021-07-01 11:32:00-04:00,81.445,81.445,81.445,81.445,190
2021-07-01 11:36:00-04:00,81.46,81.49,81.46,81.49,400
2021-07-01 11:38:00-04:00,81.445,81.445,81.435,81.435,601
2021-07-01 11:39:00-04:00,81.445,81.445,81.445,81.445,100
2021-07-01 11:40:00-04:00,81.46,81.46,81.46,81.46,100
2021-07-01 11:42:00-04:00,81.45,81.45,81.445,81.445,285
2021-07-01 11:45:00-04:00,81.435,81.435,81.435,81.435,200
2021-07-01 11:49:00-04:00,81.525,81.545,81.525,81.545,500
2021-07-01 11:50:00-04:00,81.545,81.57,81.545,81.57,597
2021-07-01 11:52:00-04:00,81.545,81.545,81.545,81.545,200
2021-07-01 11:59:00-04:00,81.625,81.625,81.625,81.625,342
2021-07-01 12:00:00-04:00,81.635,81.635,81.635,81.635,100
2021-07-01 12:01:00-04:00,81.625,81.625,81.625,81.625,644
2021-07-01 12:03:00-04:00,81.61,81.61,81.585,81.585,200
2021-07-01 12:04:00-04:00,81.575,81.575,81.575,81.575,100
2021-07-01 12:23:00-04:00,81.58,81.58,81.58,81.58,301
2021-07-01 12:24:00-04:00,81.6,81.6,81.6,81.6,300
2021-07-01 12:27:00-04:00,81.63,81.63,81.63,81.63,300
2021-07-01 12:29:00-04:00,81.61,81.61,81.61,81.61,100
2021-07-01 12:32:00-04:00,81.565,81.565,81.565,81.565,300
2021-07-01 12:34:00-04:00,81.58,81.58,81.58,81.58,100
2021-07-01 12:35:00-04:00,81.57,81.57,81.57,81.57,200
2021-07-01 12:41:00-04:00,81.57,81.57,81.57,81.57,100
2021-07-01 12:49:00-04:00,81.52,81.52,81.52,81.52,300
2021-07-01 13:07:00-04:00,81.48,81.48,81.48,81.48,100
2021-07-01 13:09:00-04:00,81.49,81.49,81.49,81.49,100
2021-07-01 13:24:00-04:00,81.49,81.49,81.49,81.49,100
2021-07-01 13:38:00-04:00,81.57,81.58,81.57,81.58,200
2021-07-01 14:05:00-04:00,81.5,81.5,81.5,81.5,100
2021-07-01 14:07:00-04:00,81.59,81.59,81.59,81.59,100
2021-07-01 14:10:00-04:00,81.64,81.64,81.62,81.62,200
2021-07-01 14:21:00-04:00,81.63,81.63,81.63,81.63,100
2021-07-01 14:22:00-04:00,81.63,81.63,81.63,81.63,100
2021-07-01 14:23:00-04:00,81.64,81.64,81.64,81.64,100
2021-07-01 14:26:00-04:00,81.64,81.64,81.64,81.64,100
2021-07-01 14:32:00-04:00,81.68,81.68,81.68,81.68,100
2021-07-01 14:33:00-04:00,81.7,81.7,81.7,81.7,100
2021-07-01 14:35:00-04:00,81.7,81.7,81.7,81.7,200
2021-07-01 14:36:00-04:00,81.7,81.7,81.7,81.7,200
2021-07-01 14:40:00-04:00,81.73,81.735,81.73,81.73,480
2021-07-01 14:42:00-04:00,81.77,81.77,81.77,81.77,100
2021-07-01 14:43:00-04:00,81.765,81.765,81.765,81.765,200
2021-07-01 14:44:00-04:00,81.755,81.77,81.755,81.77,300
2021-07-01 14:45:00-04:00,81.8,81.8,81.8,81.8,100
2021-07-01 14:50:00-04:00,81.75,81.75,81.75,81.75,100
2021-07-01 15:06:00-04:00,81.73,81.73,81.73,81.73,100
2021-07-01 15:07:00-04:00,81.72,81.735,81.72,81.735,341
2021-07-01 15:10:00-04:00,81.725,81.73,81.725,81.73,200
2021-07-01 15:11:00-04:00,81.74,81.74,81.74,81.74,100
2021-07-01 15:13:00-04:00,81.75,81.75,81.75,81.75,100
2021-07-01 15:14:00-04:00,81.77,81.775,81.77,81.775,200
2021-07-01 15:21:00-04:00,81.77,81.77,81.77,81.77,100
2021-07-01 15:23:00-04:00,81.785,81.785,81.785,81.785,280
2021-07-01 15:24:00-04:00,81.765,81.765,81.765,81.765,100
2021-07-01 15:25:00-04:00,81.765,81.765,81.765,81.765,100
2021-07-01 15:35:00-04:00,81.83,81.83,81.83,81.83,300
2021-07-01 15:36:00-04:00,81.805,81.805,81.805,81.805,290
2021-07-01 15:38:00-04:00,81.84,81.84,81.84,81.84,100
2021-07-01 15:39:00-04:00,81.85,81.85,81.85,81.85,100
2021-07-01 15:43:00-04:00,81.815,81.815,81.815,81.815,200
2021-07-01 15:46:00-04:00,81.72,81.72,81.72,81.72,200
2021-07-01 15:48:00-04:00,81.72,81.72,81.715,81.715,290
2021-07-01 15:52:00-04:00,81.73,81.73,81.73,81.73,100
2021-07-01 15:53:00-04:00,81.73,81.735,81.725,81.725,406
2021-07-01 15:54:00-04:00,81.73,81.73,81.73,81.73,100
2021-07-01 15:55:00-04:00,81.7,81.7,81.7,81.7,100
2021-07-01 15:56:00-04:00,81.71,81.71,81.71,81.71,500
2021-07-01 15:57:00-04:00,81.73,81.75,81.73,81.75,400
2021-07-01 15:58:00-04:00,81.75,81.75,81.75,81.75,100
2021-07-01 15:59:00-04:00,81.77,81.77,81.77,81.77,200
2021-07-02 09:31:00-04:00,80.61,80.61,80.61,80.61,300
2021-07-02 09:33:00-04:00,80.65,80.65,80.65,80.65,100
2021-07-02 09:38:00-04:00,80.77,80.77,80.77,80.77,100
2021-07-02 09:40:00-04:00,80.755,80.755,80.745,80.745,321
2021-07-02 09:41:00-04:00,80.775,80.775,80.745,80.755,420
2021-07-02 09:42:00-04:00,80.745,80.745,80.745,80.745,300
2021-07-02 09:43:00-04:00,80.75,80.76,80.75,80.76,1400
2021-07-02 09:44:00-04:00,80.775,80.775,80.775,80.775,100
2021-07-02 09:45:00-04:00,80.79,80.79,80.79,80.79,700
2021-07-02 09:46:00-04:00,80.765,80.785,80.745,80.785,1192
2021-07-02 09:47:00-04:00,80.785,80.785,80.725,80.74,1678
2021-07-02 09:48:00-04:00,80.715,80.75,80.71,80.75,847
2021-07-02 09:49:00-04:00,80.74,80.75,80.72,80.74,510
2021-07-02 09:50:00-04:00,80.71,80.74,80.71,80.74,320
2021-07-02 09:53:00-04:00,80.645,80.645,80.645,80.645,450
2021-07-02 09:54:00-04:00,80.62,80.62,80.62,80.62,101
2021-07-02 09:55:00-04:00,80.63,80.63,80.63,80.63,210
2021-07-02 09:56:00-04:00,80.605,80.605,80.605,80.605,351
2021-07-02 09:57:00-04:00,80.575,80.58,80.575,80.58,330
2021-07-02 09:58:00-04:00,80.58,80.58,80.58,80.58,100
2021-07-02 09:59:00-04:00,80.52,80.53,80.52,80.53,202
2021-07-02 10:00:00-04:00,80.51,80.51,80.49,80.51,401
2021-07-02 10:01:00-04:00,80.5,80.51,80.5,80.51,200
2021-07-02 10:02:00-04:00,80.49,80.5,80.49,80.5,216
2021-07-02 10:05:00-04:00,80.43,80.44,80.43,80.44,320
2021-07-02 10:06:00-04:00,80.43,80.44,80.43,80.44,352
2021-07-02 10:08:00-04:00,80.445,80.445,80.44,80.44,200
2021-07-02 10:10:00-04:00,80.42,80.42,80.42,80.42,100
2021-07-02 10:11:00-04:00,80.415,80.415,80.415,80.415,137
2021-07-02 10:12:00-04:00,80.36,80.36,80.36,80.36,100
2021-07-02 10:13:00-04:00,80.36,80.4,80.36,80.4,240
2021-07-02 10:15:00-04:00,80.355,80.355,80.355,80.355,356
2021-07-02 10:16:00-04:00,80.355,80.37,80.355,80.36,300
2021-07-02 10:17:00-04:00,80.36,80.36,80.36,80.36,110
2021-07-02 10:18:00-04:00,80.4,80.4,80.4,80.4,200
2021-07-02 10:19:00-04:00,80.4,80.4,80.4,80.4,110
2021-07-02 10:22:00-04:00,80.42,80.42,80.41,80.41,200
2021-07-02 10:23:00-04:00,80.425,80.435,80.425,80.435,340
2021-07-02 10:24:00-04:00,80.45,80.48,80.45,80.48,210
2021-07-02 10:25:00-04:00,80.49,80.49,80.49,80.49,100
2021-07-02 10:27:00-04:00,80.455,80.475,80.45,80.475,344
2021-07-02 10:28:00-04:00,80.465,80.47,80.465,80.465,401
2021-07-02 10:29:00-04:00,80.47,80.47,80.47,80.47,237
2021-07-02 10:31:00-04:00,80.39,80.39,80.39,80.39,101
