timestamp,open,high,low,close,volume,trade_count,vwap
2021-04-01 03:45:00-04:00,22.72,22.72,22.72,22.72,575,2,22.72
2021-04-01 04:14:00-04:00,22.71,22.71,22.71,22.71,600,1,22.71
2021-04-01 04:37:00-04:00,22.71,22.71,22.71,22.71,159,2,22.71
2021-04-01 04:47:00-04:00,22.68,22.68,22.68,22.68,7700,3,22.68
2021-04-01 04:49:00-04:00,22.68,22.68,22.68,22.68,300,1,22.68
2021-04-01 04:51:00-04:00,22.67,22.67,22.67,22.67,200,1,22.67
2021-04-01 05:02:00-04:00,22.65,22.65,22.65,22.65,100,1,22.65
2021-04-01 05:06:00-04:00,22.64,22.64,22.64,22.64,100,1,22.64
2021-04-01 05:35:00-04:00,22.65,22.65,22.65,22.65,333,2,22.65
2021-04-01 05:47:00-04:00,22.65,22.65,22.65,22.65,500,1,22.65
2021-04-01 06:03:00-04:00,22.64,22.64,22.64,22.64,988,2,22.63999
2021-04-01 06:17:00-04:00,22.63,22.63,22.63,22.63,200,1,22.63
2021-04-01 06:21:00-04:00,22.63,22.63,22.63,22.63,200,2,22.63
2021-04-01 06:38:00-04:00,22.62,22.62,22.62,22.62,2250,1,22.62
2021-04-01 06:42:00-04:00,22.65,22.65,22.64,22.64,600,6,22.645
2021-04-01 06:46:00-04:00,22.62,22.62,22.62,22.62,200,2,22.62
2021-04-01 06:48:00-04:00,22.61,22.61,22.61,22.61,300,1,22.61
2021-04-01 07:00:00-04:00,22.58,22.58,22.58,22.58,16964,27,22.580026
2021-04-01 07:01:00-04:00,22.57,22.57,22.57,22.57,8012,9,22.57
2021-04-01 07:02:00-04:00,22.56,22.56,22.56,22.56,214,4,22.56
2021-04-01 07:05:00-04:00,22.57,22.57,22.57,22.57,250,1,22.57
2021-04-01 07:06:00-04:00,22.56,22.56,22.56,22.56,650,3,22.56
2021-04-01 07:08:00-04:00,22.5501,22.5501,22.5501,22.5501,1053,3,22.550598
2021-04-01 07:09:00-04:00,22.5699,22.5699,22.5699,22.5699,120,1,22.5699
2021-04-01 07:11:00-04:00,22.57,22.57,22.57,22.57,1000,1,22.57
2021-04-01 07:12:00-04:00,22.5799,22.5799,22.56,22.56,604,7,22.566755
2021-04-01 07:13:00-04:00,22.58,22.58,22.58,22.58,500,2,22.58
2021-04-01 07:14:00-04:00,22.5799,22.5799,22.5799,22.5799,200,1,22.5799
2021-04-01 07:15:00-04:00,22.57,22.57,22.57,22.57,1500,1,22.57
2021-04-01 07:17:00-04:00,22.5699,22.5699,22.56,22.56,5800,2,22.561707
2021-04-01 07:18:00-04:00,22.55,22.55,22.55,22.55,100,1,22.55
